"Step","playful-jazz-80 - loss/rmse_param_sig","playful-jazz-80 - loss/rmse_param_sig__MIN","playful-jazz-80 - loss/rmse_param_sig__MAX"
"0","0.5","0.5","0.5"
"1","0.5199999511241913","0.5199999511241913","0.5199999511241913"
"2","0.5265096127986908","0.5265096127986908","0.5265096127986908"
"3","0.5241076052188873","0.5241076052188873","0.5241076052188873"
"4","0.5178006291389465","0.5178006291389465","0.5178006291389465"
"5","0.5096433460712433","0.5096433460712433","0.5096433460712433"
"6","0.5030288696289062","0.5030288696289062","0.5030288696289062"
"7","0.4982844591140747","0.4982844591140747","0.4982844591140747"
"8","0.49178093671798706","0.49178093671798706","0.49178093671798706"
"9","0.491132915019989","0.491132915019989","0.491132915019989"
"10","0.49260997772216797","0.49260997772216797","0.49260997772216797"
"11","0.48735982179641724","0.48735982179641724","0.48735982179641724"
"12","0.48208820819854736","0.48208820819854736","0.48208820819854736"
"13","0.47499704360961914","0.47499704360961914","0.47499704360961914"
"14","0.46794623136520386","0.46794623136520386","0.46794623136520386"
"15","0.46011674404144287","0.46011674404144287","0.46011674404144287"
"16","0.45242708921432495","0.45242708921432495","0.45242708921432495"
"17","0.44253265857696533","0.44253265857696533","0.44253265857696533"
"18","0.4359744191169739","0.4359744191169739","0.4359744191169739"
"19","0.429309606552124","0.429309606552124","0.429309606552124"
"20","0.420587956905365","0.420587956905365","0.420587956905365"
"21","0.4112042784690857","0.4112042784690857","0.4112042784690857"
"22","0.40245509147644043","0.40245509147644043","0.40245509147644043"
"23","0.39558762311935425","0.39558762311935425","0.39558762311935425"
"24","0.3893546462059021","0.3893546462059021","0.3893546462059021"
"25","0.38408637046813965","0.38408637046813965","0.38408637046813965"
"26","0.3749126195907593","0.3749126195907593","0.3749126195907593"
"27","0.3655329942703247","0.3655329942703247","0.3655329942703247"
"28","0.3580583333969116","0.3580583333969116","0.3580583333969116"
"29","0.35003185272216797","0.35003185272216797","0.35003185272216797"
"30","0.34341877698898315","0.34341877698898315","0.34341877698898315"
"31","0.3387722969055176","0.3387722969055176","0.3387722969055176"
"32","0.33434242010116577","0.33434242010116577","0.33434242010116577"
"33","0.3309863209724426","0.3309863209724426","0.3309863209724426"
"34","0.32823359966278076","0.32823359966278076","0.32823359966278076"
"35","0.32810646295547485","0.32810646295547485","0.32810646295547485"
"36","0.32769066095352173","0.32769066095352173","0.32769066095352173"
"37","0.32859349250793457","0.32859349250793457","0.32859349250793457"
"38","0.33088982105255127","0.33088982105255127","0.33088982105255127"
"39","0.3334280848503113","0.3334280848503113","0.3334280848503113"
"40","0.3339184522628784","0.3339184522628784","0.3339184522628784"
"41","0.33489274978637695","0.33489274978637695","0.33489274978637695"
"42","0.33583611249923706","0.33583611249923706","0.33583611249923706"
"43","0.3378170132637024","0.3378170132637024","0.3378170132637024"
"44","0.3406714200973511","0.3406714200973511","0.3406714200973511"
"45","0.3420224189758301","0.3420224189758301","0.3420224189758301"
"46","0.3433210849761963","0.3433210849761963","0.3433210849761963"
"47","0.345167338848114","0.345167338848114","0.345167338848114"
"48","0.34696364402770996","0.34696364402770996","0.34696364402770996"
"49","0.3483445644378662","0.3483445644378662","0.3483445644378662"
"50","0.3500828742980957","0.3500828742980957","0.3500828742980957"
"51","0.349091112613678","0.349091112613678","0.349091112613678"
"52","0.34929609298706055","0.34929609298706055","0.34929609298706055"
"53","0.34746092557907104","0.34746092557907104","0.34746092557907104"
"54","0.342903196811676","0.342903196811676","0.342903196811676"
"55","0.33869969844818115","0.33869969844818115","0.33869969844818115"
"56","0.3341570496559143","0.3341570496559143","0.3341570496559143"
"57","0.3288842439651489","0.3288842439651489","0.3288842439651489"
"58","0.32488757371902466","0.32488757371902466","0.32488757371902466"
"59","0.32536637783050537","0.32536637783050537","0.32536637783050537"
"60","0.3271164298057556","0.3271164298057556","0.3271164298057556"
"61","0.3274768590927124","0.3274768590927124","0.3274768590927124"
"62","0.3285151720046997","0.3285151720046997","0.3285151720046997"
"63","0.33168357610702515","0.33168357610702515","0.33168357610702515"
