"Step","fluent-darkness-75 - loss/rmse_param_sig","fluent-darkness-75 - loss/rmse_param_sig__MIN","fluent-darkness-75 - loss/rmse_param_sig__MAX"
"0","0.5","0.5","0.5"
"1","0.48000025749206543","0.48000025749206543","0.48000025749206543"
"2","0.49164122343063354","0.49164122343063354","0.49164122343063354"
"3","0.49131524562835693","0.49131524562835693","0.49131524562835693"
"4","0.4901800751686096","0.4901800751686096","0.4901800751686096"
"5","0.488578736782074","0.488578736782074","0.488578736782074"
"6","0.48594391345977783","0.48594391345977783","0.48594391345977783"
"7","0.4787045121192932","0.4787045121192932","0.4787045121192932"
"8","0.47001534700393677","0.47001534700393677","0.47001534700393677"
"9","0.4592386484146118","0.4592386484146118","0.4592386484146118"
"10","0.4479506015777588","0.4479506015777588","0.4479506015777588"
"11","0.4371817111968994","0.4371817111968994","0.4371817111968994"
"12","0.42626917362213135","0.42626917362213135","0.42626917362213135"
"13","0.4154103994369507","0.4154103994369507","0.4154103994369507"
"14","0.4041122794151306","0.4041122794151306","0.4041122794151306"
"15","0.3928176164627075","0.3928176164627075","0.3928176164627075"
"16","0.38034647703170776","0.38034647703170776","0.38034647703170776"
"17","0.3690180778503418","0.3690180778503418","0.3690180778503418"
"18","0.35893988609313965","0.35893988609313965","0.35893988609313965"
"19","0.35111314058303833","0.35111314058303833","0.35111314058303833"
"20","0.34351855516433716","0.34351855516433716","0.34351855516433716"
"21","0.33643674850463867","0.33643674850463867","0.33643674850463867"
"22","0.32913869619369507","0.32913869619369507","0.32913869619369507"
"23","0.3227490782737732","0.3227490782737732","0.3227490782737732"
"24","0.3156508803367615","0.3156508803367615","0.3156508803367615"
"25","0.31062084436416626","0.31062084436416626","0.31062084436416626"
"26","0.30618202686309814","0.30618202686309814","0.30618202686309814"
"27","0.30115920305252075","0.30115920305252075","0.30115920305252075"
"28","0.2941463589668274","0.2941463589668274","0.2941463589668274"
"29","0.28870999813079834","0.28870999813079834","0.28870999813079834"
"30","0.28169381618499756","0.28169381618499756","0.28169381618499756"
"31","0.2749788165092468","0.2749788165092468","0.2749788165092468"
"32","0.2689926028251648","0.2689926028251648","0.2689926028251648"
"33","0.26258909702301025","0.26258909702301025","0.26258909702301025"
"34","0.2570263147354126","0.2570263147354126","0.2570263147354126"
"35","0.2497301697731018","0.2497301697731018","0.2497301697731018"
"36","0.2439800500869751","0.2439800500869751","0.2439800500869751"
"37","0.23730731010437012","0.23730731010437012","0.23730731010437012"
"38","0.23058730363845825","0.23058730363845825","0.23058730363845825"
"39","0.22341614961624146","0.22341614961624146","0.22341614961624146"
"40","0.21590399742126465","0.21590399742126465","0.21590399742126465"
"41","0.21017253398895264","0.21017253398895264","0.21017253398895264"
"42","0.20699310302734375","0.20699310302734375","0.20699310302734375"
"43","0.20237600803375244","0.20237600803375244","0.20237600803375244"
"44","0.1967923641204834","0.1967923641204834","0.1967923641204834"
"45","0.19197219610214233","0.19197219610214233","0.19197219610214233"
"46","0.1888749599456787","0.1888749599456787","0.1888749599456787"
"47","0.18443888425827026","0.18443888425827026","0.18443888425827026"
"48","0.18190956115722656","0.18190956115722656","0.18190956115722656"
"49","0.18180304765701294","0.18180304765701294","0.18180304765701294"
"50","0.1812712550163269","0.1812712550163269","0.1812712550163269"
"51","0.18149101734161377","0.18149101734161377","0.18149101734161377"
"52","0.17947053909301758","0.17947053909301758","0.17947053909301758"
"53","0.178134024143219","0.178134024143219","0.178134024143219"
"54","0.17349755764007568","0.17349755764007568","0.17349755764007568"
"55","0.17078393697738647","0.17078393697738647","0.17078393697738647"
"56","0.16911131143569946","0.16911131143569946","0.16911131143569946"
