"Step","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"0","50","50","50"
"1","50.1996955871582","50.1996955871582","50.1996955871582"
"2","50.3995475769043","50.3995475769043","50.3995475769043"
"3","50.59926223754883","50.59926223754883","50.59926223754883"
"4","50.7984733581543","50.7984733581543","50.7984733581543"
"5","50.99812316894531","50.99812316894531","50.99812316894531"
"6","51.198368072509766","51.198368072509766","51.198368072509766"
"7","51.39792251586914","51.39792251586914","51.39792251586914"
"8","51.59757995605469","51.59757995605469","51.59757995605469"
"9","51.79747772216797","51.79747772216797","51.79747772216797"
"10","51.99747848510742","51.99747848510742","51.99747848510742"
"11","52.196739196777344","52.196739196777344","52.196739196777344"
"12","52.39585494995117","52.39585494995117","52.39585494995117"
"13","52.59295654296875","52.59295654296875","52.59295654296875"
"14","52.79066848754883","52.79066848754883","52.79066848754883"
"15","52.98907470703125","52.98907470703125","52.98907470703125"
"16","53.18811798095703","53.18811798095703","53.18811798095703"
"17","53.38783264160156","53.38783264160156","53.38783264160156"
"18","53.58708953857422","53.58708953857422","53.58708953857422"
"19","53.78680419921875","53.78680419921875","53.78680419921875"
"20","53.986122131347656","53.986122131347656","53.986122131347656"
"21","54.18548583984375","54.18548583984375","54.18548583984375"
"22","54.38429260253906","54.38429260253906","54.38429260253906"
"23","54.58407211303711","54.58407211303711","54.58407211303711"
"24","54.783203125","54.783203125","54.783203125"
"25","54.98141860961914","54.98141860961914","54.98141860961914"
"26","55.179649353027344","55.179649353027344","55.179649353027344"
"27","55.37802505493164","55.37802505493164","55.37802505493164"
"28","55.575923919677734","55.575923919677734","55.575923919677734"
"29","55.77411651611328","55.77411651611328","55.77411651611328"
"30","55.972084045410156","55.972084045410156","55.972084045410156"
"31","56.16983413696289","56.16983413696289","56.16983413696289"
"32","56.36808776855469","56.36808776855469","56.36808776855469"
"33","56.56604766845703","56.56604766845703","56.56604766845703"
"34","56.76301574707031","56.76301574707031","56.76301574707031"
"35","56.959571838378906","56.959571838378906","56.959571838378906"
"36","57.154930114746094","57.154930114746094","57.154930114746094"
"37","57.35051345825195","57.35051345825195","57.35051345825195"
"38","57.5463752746582","57.5463752746582","57.5463752746582"
"39","57.74256896972656","57.74256896972656","57.74256896972656"
"40","57.94034957885742","57.94034957885742","57.94034957885742"
"41","58.13792419433594","58.13792419433594","58.13792419433594"
"42","58.33622360229492","58.33622360229492","58.33622360229492"
"43","58.534820556640625","58.534820556640625","58.534820556640625"
"44","58.73297882080078","58.73297882080078","58.73297882080078"
"45","58.931461334228516","58.931461334228516","58.931461334228516"
"46","59.1291618347168","59.1291618347168","59.1291618347168"
"47","59.32671356201172","59.32671356201172","59.32671356201172"
"48","59.5242805480957","59.5242805480957","59.5242805480957"
"49","59.7209587097168","59.7209587097168","59.7209587097168"
"50","59.91898727416992","59.91898727416992","59.91898727416992"
"51","60.1173095703125","60.1173095703125","60.1173095703125"
"52","60.31644821166992","60.31644821166992","60.31644821166992"
"53","60.514583587646484","60.514583587646484","60.514583587646484"
"54","60.71275329589844","60.71275329589844","60.71275329589844"
"55","60.91167449951172","60.91167449951172","60.91167449951172"
"56","61.110870361328125","61.110870361328125","61.110870361328125"
"57","61.309417724609375","61.309417724609375","61.309417724609375"
"58","61.50736618041992","61.50736618041992","61.50736618041992"
"59","61.70555114746094","61.70555114746094","61.70555114746094"
"60","61.903568267822266","61.903568267822266","61.903568267822266"
"61","62.1019172668457","62.1019172668457","62.1019172668457"
"62","62.29976272583008","62.29976272583008","62.29976272583008"
"63","62.49673843383789","62.49673843383789","62.49673843383789"
"64","62.69451904296875","62.69451904296875","62.69451904296875"
"65","62.89237976074219","62.89237976074219","62.89237976074219"
"66","63.09131622314453","63.09131622314453","63.09131622314453"
"67","63.29029846191406","63.29029846191406","63.29029846191406"
"68","63.48875427246094","63.48875427246094","63.48875427246094"
"69","63.68634796142578","63.68634796142578","63.68634796142578"
"70","63.883209228515625","63.883209228515625","63.883209228515625"
"71","64.07949829101562","64.07949829101562","64.07949829101562"
"72","64.27601623535156","64.27601623535156","64.27601623535156"
"73","64.4723129272461","64.4723129272461","64.4723129272461"
"74","64.66788482666016","64.66788482666016","64.66788482666016"
"75","64.8638916015625","64.8638916015625","64.8638916015625"
"76","65.05994415283203","65.05994415283203","65.05994415283203"
"77","65.25675964355469","65.25675964355469","65.25675964355469"
"78","65.45549011230469","65.45549011230469","65.45549011230469"
"79","65.65444946289062","65.65444946289062","65.65444946289062"
"80","65.85343170166016","65.85343170166016","65.85343170166016"
"81","66.0522232055664","66.0522232055664","66.0522232055664"
"82","66.25149536132812","66.25149536132812","66.25149536132812"
"83","66.45038604736328","66.45038604736328","66.45038604736328"
"84","66.6482162475586","66.6482162475586","66.6482162475586"
"85","66.84660339355469","66.84660339355469","66.84660339355469"
"86","67.04428100585938","67.04428100585938","67.04428100585938"
"87","67.24108123779297","67.24108123779297","67.24108123779297"
"88","67.43807220458984","67.43807220458984","67.43807220458984"
"89","67.63569641113281","67.63569641113281","67.63569641113281"
"90","67.83303833007812","67.83303833007812","67.83303833007812"
"91","68.02965545654297","68.02965545654297","68.02965545654297"
"92","68.22674560546875","68.22674560546875","68.22674560546875"
"93","68.42254638671875","68.42254638671875","68.42254638671875"
"94","68.61831665039062","68.61831665039062","68.61831665039062"
"95","68.81351470947266","68.81351470947266","68.81351470947266"
"96","69.00938415527344","69.00938415527344","69.00938415527344"
"97","69.2050552368164","69.2050552368164","69.2050552368164"
"98","69.39995574951172","69.39995574951172","69.39995574951172"
"99","69.594482421875","69.594482421875","69.594482421875"
"100","69.78840637207031","69.78840637207031","69.78840637207031"
"101","69.98091888427734","69.98091888427734","69.98091888427734"
"102","70.17379760742188","70.17379760742188","70.17379760742188"
"103","70.36573791503906","70.36573791503906","70.36573791503906"
"104","70.55825805664062","70.55825805664062","70.55825805664062"
"105","70.74925994873047","70.74925994873047","70.74925994873047"
"106","70.94062805175781","70.94062805175781","70.94062805175781"
"107","71.1324462890625","71.1324462890625","71.1324462890625"
"108","71.32257843017578","71.32257843017578","71.32257843017578"
"109","71.51344299316406","71.51344299316406","71.51344299316406"
"110","71.70392608642578","71.70392608642578","71.70392608642578"
"111","71.89463806152344","71.89463806152344","71.89463806152344"
"112","72.08673095703125","72.08673095703125","72.08673095703125"
"113","72.27839660644531","72.27839660644531","72.27839660644531"
"114","72.4698486328125","72.4698486328125","72.4698486328125"
"115","72.65978240966797","72.65978240966797","72.65978240966797"
"116","72.84904479980469","72.84904479980469","72.84904479980469"
