"Step","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX"
"0","50","50","50"
"1","50.199947357177734","50.199947357177734","50.199947357177734"
"2","50.39997100830078","50.39997100830078","50.39997100830078"
"3","50.60039520263672","50.60039520263672","50.60039520263672"
"4","50.80046844482422","50.80046844482422","50.80046844482422"
"5","51.00041961669922","51.00041961669922","51.00041961669922"
"6","51.20115661621094","51.20115661621094","51.20115661621094"
"7","51.40100860595703","51.40100860595703","51.40100860595703"
"8","51.601036071777344","51.601036071777344","51.601036071777344"
"9","51.801143646240234","51.801143646240234","51.801143646240234"
"10","52.00054931640625","52.00054931640625","52.00054931640625"
"11","52.19902801513672","52.19902801513672","52.19902801513672"
"12","52.39812469482422","52.39812469482422","52.39812469482422"
"13","52.596351623535156","52.596351623535156","52.596351623535156"
"14","52.795166015625","52.795166015625","52.795166015625"
"15","52.994483947753906","52.994483947753906","52.994483947753906"
"16","53.19357681274414","53.19357681274414","53.19357681274414"
"17","53.39353561401367","53.39353561401367","53.39353561401367"
"18","53.592899322509766","53.592899322509766","53.592899322509766"
"19","53.792171478271484","53.792171478271484","53.792171478271484"
"20","53.99097442626953","53.99097442626953","53.99097442626953"
"21","54.19055938720703","54.19055938720703","54.19055938720703"
"22","54.38964080810547","54.38964080810547","54.38964080810547"
"23","54.5892333984375","54.5892333984375","54.5892333984375"
"24","54.78811264038086","54.78811264038086","54.78811264038086"
"25","54.98659896850586","54.98659896850586","54.98659896850586"
"26","55.18419647216797","55.18419647216797","55.18419647216797"
"27","55.38258743286133","55.38258743286133","55.38258743286133"
"28","55.58073425292969","55.58073425292969","55.58073425292969"
"29","55.77916717529297","55.77916717529297","55.77916717529297"
"30","55.97759246826172","55.97759246826172","55.97759246826172"
"31","56.17573928833008","56.17573928833008","56.17573928833008"
"32","56.37411880493164","56.37411880493164","56.37411880493164"
"33","56.57255554199219","56.57255554199219","56.57255554199219"
"34","56.77081298828125","56.77081298828125","56.77081298828125"
"35","56.968780517578125","56.968780517578125","56.968780517578125"
"36","57.16609191894531","57.16609191894531","57.16609191894531"
"37","57.36388397216797","57.36388397216797","57.36388397216797"
"38","57.561431884765625","57.561431884765625","57.561431884765625"
"39","57.758018493652344","57.758018493652344","57.758018493652344"
"40","57.95493698120117","57.95493698120117","57.95493698120117"
"41","58.15290451049805","58.15290451049805","58.15290451049805"
"42","58.352012634277344","58.352012634277344","58.352012634277344"
"43","58.55107116699219","58.55107116699219","58.55107116699219"
"44","58.749305725097656","58.749305725097656","58.749305725097656"
"45","58.94718933105469","58.94718933105469","58.94718933105469"
"46","59.144622802734375","59.144622802734375","59.144622802734375"
"47","59.34163284301758","59.34163284301758","59.34163284301758"
"48","59.53939437866211","59.53939437866211","59.53939437866211"
"49","59.73614501953125","59.73614501953125","59.73614501953125"
"50","59.9323616027832","59.9323616027832","59.9323616027832"
"51","60.127384185791016","60.127384185791016","60.127384185791016"
"52","60.32178497314453","60.32178497314453","60.32178497314453"
"53","60.51567077636719","60.51567077636719","60.51567077636719"
"54","60.708534240722656","60.708534240722656","60.708534240722656"
"55","60.901248931884766","60.901248931884766","60.901248931884766"
"56","61.09259033203125","61.09259033203125","61.09259033203125"
"57","61.282806396484375","61.282806396484375","61.282806396484375"
"58","61.47111129760742","61.47111129760742","61.47111129760742"
"59","61.65867614746094","61.65867614746094","61.65867614746094"
"60","61.84635925292969","61.84635925292969","61.84635925292969"
"61","62.0340576171875","62.0340576171875","62.0340576171875"
"62","62.22044372558594","62.22044372558594","62.22044372558594"
"63","62.40805435180664","62.40805435180664","62.40805435180664"
"64","62.59672927856445","62.59672927856445","62.59672927856445"
"65","62.78384780883789","62.78384780883789","62.78384780883789"
"66","62.97153854370117","62.97153854370117","62.97153854370117"
"67","63.158748626708984","63.158748626708984","63.158748626708984"
"68","63.345252990722656","63.345252990722656","63.345252990722656"
"69","63.530494689941406","63.530494689941406","63.530494689941406"
"70","63.71436309814453","63.71436309814453","63.71436309814453"
"71","63.89925003051758","63.89925003051758","63.89925003051758"
"72","64.0844955444336","64.0844955444336","64.0844955444336"
"73","64.26919555664062","64.26919555664062","64.26919555664062"
"74","64.45433807373047","64.45433807373047","64.45433807373047"
"75","64.63885498046875","64.63885498046875","64.63885498046875"
"76","64.82164001464844","64.82164001464844","64.82164001464844"
"77","65.00576782226562","65.00576782226562","65.00576782226562"
"78","65.19023132324219","65.19023132324219","65.19023132324219"
"79","65.37372589111328","65.37372589111328","65.37372589111328"
"80","65.55738067626953","65.55738067626953","65.55738067626953"
"81","65.73948669433594","65.73948669433594","65.73948669433594"
"82","65.9207763671875","65.9207763671875","65.9207763671875"
"83","66.10270690917969","66.10270690917969","66.10270690917969"
"84","66.2835464477539","66.2835464477539","66.2835464477539"
"85","66.46317291259766","66.46317291259766","66.46317291259766"
"86","66.63987731933594","66.63987731933594","66.63987731933594"
"87","66.81449127197266","66.81449127197266","66.81449127197266"
