"Step","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX"
"0","50","50","50"
"1","50.19994354248047","50.19994354248047","50.19994354248047"
"2","50.39967346191406","50.39967346191406","50.39967346191406"
"3","50.598270416259766","50.598270416259766","50.598270416259766"
"4","50.797088623046875","50.797088623046875","50.797088623046875"
"5","50.99639129638672","50.99639129638672","50.99639129638672"
"6","51.19617462158203","51.19617462158203","51.19617462158203"
"7","51.39627456665039","51.39627456665039","51.39627456665039"
"8","51.59700393676758","51.59700393676758","51.59700393676758"
"9","51.797855377197266","51.797855377197266","51.797855377197266"
"10","51.99885940551758","51.99885940551758","51.99885940551758"
"11","52.19951629638672","52.19951629638672","52.19951629638672"
"12","52.4000129699707","52.4000129699707","52.4000129699707"
"13","52.59904098510742","52.59904098510742","52.59904098510742"
"14","52.798194885253906","52.798194885253906","52.798194885253906"
"15","52.997615814208984","52.997615814208984","52.997615814208984"
"16","53.19749069213867","53.19749069213867","53.19749069213867"
"17","53.397613525390625","53.397613525390625","53.397613525390625"
"18","53.597496032714844","53.597496032714844","53.597496032714844"
"19","53.79580307006836","53.79580307006836","53.79580307006836"
"20","53.9942626953125","53.9942626953125","53.9942626953125"
"21","54.193904876708984","54.193904876708984","54.193904876708984"
"22","54.39371871948242","54.39371871948242","54.39371871948242"
"23","54.59272384643555","54.59272384643555","54.59272384643555"
"24","54.79163360595703","54.79163360595703","54.79163360595703"
"25","54.990867614746094","54.990867614746094","54.990867614746094"
"26","55.19048309326172","55.19048309326172","55.19048309326172"
"27","55.38926315307617","55.38926315307617","55.38926315307617"
"28","55.58708190917969","55.58708190917969","55.58708190917969"
"29","55.78496551513672","55.78496551513672","55.78496551513672"
"30","55.98329162597656","55.98329162597656","55.98329162597656"
"31","56.181602478027344","56.181602478027344","56.181602478027344"
"32","56.381500244140625","56.381500244140625","56.381500244140625"
"33","56.58141326904297","56.58141326904297","56.58141326904297"
"34","56.7811279296875","56.7811279296875","56.7811279296875"
"35","56.981056213378906","56.981056213378906","56.981056213378906"
"36","57.179927825927734","57.179927825927734","57.179927825927734"
"37","57.378990173339844","57.378990173339844","57.378990173339844"
"38","57.577510833740234","57.577510833740234","57.577510833740234"
"39","57.77733612060547","57.77733612060547","57.77733612060547"
"40","57.977691650390625","57.977691650390625","57.977691650390625"
"41","58.17656707763672","58.17656707763672","58.17656707763672"
"42","58.37620162963867","58.37620162963867","58.37620162963867"
"43","58.576995849609375","58.576995849609375","58.576995849609375"
"44","58.7793083190918","58.7793083190918","58.7793083190918"
"45","58.98064422607422","58.98064422607422","58.98064422607422"
"46","59.17963790893555","59.17963790893555","59.17963790893555"
"47","59.3791389465332","59.3791389465332","59.3791389465332"
"48","59.577484130859375","59.577484130859375","59.577484130859375"
"49","59.77644348144531","59.77644348144531","59.77644348144531"
"50","59.975040435791016","59.975040435791016","59.975040435791016"
"51","60.17447280883789","60.17447280883789","60.17447280883789"
"52","60.373748779296875","60.373748779296875","60.373748779296875"
"53","60.57250213623047","60.57250213623047","60.57250213623047"
"54","60.772010803222656","60.772010803222656","60.772010803222656"
"55","60.9720458984375","60.9720458984375","60.9720458984375"
"56","61.16978454589844","61.16978454589844","61.16978454589844"
"57","61.367401123046875","61.367401123046875","61.367401123046875"
"58","61.56521224975586","61.56521224975586","61.56521224975586"
"59","61.763221740722656","61.763221740722656","61.763221740722656"
"60","61.962310791015625","61.962310791015625","61.962310791015625"
"61","62.1603889465332","62.1603889465332","62.1603889465332"
"62","62.35944366455078","62.35944366455078","62.35944366455078"
"63","62.557533264160156","62.557533264160156","62.557533264160156"
"64","62.75548553466797","62.75548553466797","62.75548553466797"
"65","62.952606201171875","62.952606201171875","62.952606201171875"
"66","63.14912414550781","63.14912414550781","63.14912414550781"
"67","63.34356689453125","63.34356689453125","63.34356689453125"
"68","63.537044525146484","63.537044525146484","63.537044525146484"
"69","63.72911834716797","63.72911834716797","63.72911834716797"
"70","63.919464111328125","63.919464111328125","63.919464111328125"
"71","64.10862731933594","64.10862731933594","64.10862731933594"
"72","64.29637908935547","64.29637908935547","64.29637908935547"
"73","64.48466491699219","64.48466491699219","64.48466491699219"
"74","64.67123413085938","64.67123413085938","64.67123413085938"
"75","64.85857391357422","64.85857391357422","64.85857391357422"
"76","65.04395294189453","65.04395294189453","65.04395294189453"
"77","65.22908020019531","65.22908020019531","65.22908020019531"
"78","65.41476440429688","65.41476440429688","65.41476440429688"
"79","65.60169982910156","65.60169982910156","65.60169982910156"
"80","65.78732299804688","65.78732299804688","65.78732299804688"
"81","65.97233581542969","65.97233581542969","65.97233581542969"
"82","66.15677642822266","66.15677642822266","66.15677642822266"
"83","66.34122467041016","66.34122467041016","66.34122467041016"
"84","66.52394104003906","66.52394104003906","66.52394104003906"
"85","66.705322265625","66.705322265625","66.705322265625"
"86","66.88675689697266","66.88675689697266","66.88675689697266"
"87","67.0687255859375","67.0687255859375","67.0687255859375"
"88","67.25140380859375","67.25140380859375","67.25140380859375"
"89","67.43392944335938","67.43392944335938","67.43392944335938"
"90","67.61477661132812","67.61477661132812","67.61477661132812"
"91","67.79449462890625","67.79449462890625","67.79449462890625"
"92","67.97395324707031","67.97395324707031","67.97395324707031"
"93","68.14961242675781","68.14961242675781","68.14961242675781"
"94","68.32388305664062","68.32388305664062","68.32388305664062"
"95","68.49817657470703","68.49817657470703","68.49817657470703"
"96","68.67394256591797","68.67394256591797","68.67394256591797"
"97","68.84928131103516","68.84928131103516","68.84928131103516"
