"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX"
"0","50","50","50"
"1","50.19921112060547","50.19921112060547","50.19921112060547"
"2","50.38650131225586","50.38650131225586","50.38650131225586"
"3","50.56560516357422","50.56560516357422","50.56560516357422"
"4","50.73816680908203","50.73816680908203","50.73816680908203"
"5","50.915565490722656","50.915565490722656","50.915565490722656"
"6","51.091373443603516","51.091373443603516","51.091373443603516"
"7","51.2646484375","51.2646484375","51.2646484375"
"8","51.43280792236328","51.43280792236328","51.43280792236328"
"9","51.60497283935547","51.60497283935547","51.60497283935547"
"10","51.772865295410156","51.772865295410156","51.772865295410156"
"11","51.945343017578125","51.945343017578125","51.945343017578125"
"12","52.105712890625","52.105712890625","52.105712890625"
"13","52.24901580810547","52.24901580810547","52.24901580810547"
"14","52.388973236083984","52.388973236083984","52.388973236083984"
"15","52.5274772644043","52.5274772644043","52.5274772644043"
"16","52.6611328125","52.6611328125","52.6611328125"
"17","52.773807525634766","52.773807525634766","52.773807525634766"
"18","52.874088287353516","52.874088287353516","52.874088287353516"
"19","52.96528244018555","52.96528244018555","52.96528244018555"
"20","53.05685043334961","53.05685043334961","53.05685043334961"
"21","53.15827560424805","53.15827560424805","53.15827560424805"
"22","53.261688232421875","53.261688232421875","53.261688232421875"
"23","53.35527038574219","53.35527038574219","53.35527038574219"
"24","53.4315185546875","53.4315185546875","53.4315185546875"
"25","53.496524810791016","53.496524810791016","53.496524810791016"
"26","53.548126220703125","53.548126220703125","53.548126220703125"
"27","53.58622360229492","53.58622360229492","53.58622360229492"
"28","53.614315032958984","53.614315032958984","53.614315032958984"
"29","53.620521545410156","53.620521545410156","53.620521545410156"
"30","53.62788009643555","53.62788009643555","53.62788009643555"
"31","53.64707565307617","53.64707565307617","53.64707565307617"
"32","53.66456604003906","53.66456604003906","53.66456604003906"
"33","53.680992126464844","53.680992126464844","53.680992126464844"
"34","53.69578552246094","53.69578552246094","53.69578552246094"
"35","53.711158752441406","53.711158752441406","53.711158752441406"
"36","53.697818756103516","53.697818756103516","53.697818756103516"
"37","53.67896270751953","53.67896270751953","53.67896270751953"
"38","53.66476821899414","53.66476821899414","53.66476821899414"
"39","53.667484283447266","53.667484283447266","53.667484283447266"
"40","53.67760467529297","53.67760467529297","53.67760467529297"
"41","53.66936111450195","53.66936111450195","53.66936111450195"
"42","53.636844635009766","53.636844635009766","53.636844635009766"
"43","53.6103630065918","53.6103630065918","53.6103630065918"
"44","53.58600997924805","53.58600997924805","53.58600997924805"
"45","53.55716323852539","53.55716323852539","53.55716323852539"
"46","53.492427825927734","53.492427825927734","53.492427825927734"
"47","53.44984817504883","53.44984817504883","53.44984817504883"
"48","53.39362335205078","53.39362335205078","53.39362335205078"
"49","53.34788513183594","53.34788513183594","53.34788513183594"
"50","53.32337188720703","53.32337188720703","53.32337188720703"
"51","53.30118179321289","53.30118179321289","53.30118179321289"
"52","53.299495697021484","53.299495697021484","53.299495697021484"
"53","53.28649139404297","53.28649139404297","53.28649139404297"
"54","53.269081115722656","53.269081115722656","53.269081115722656"
"55","53.25998306274414","53.25998306274414","53.25998306274414"
"56","53.245094299316406","53.245094299316406","53.245094299316406"
"57","53.21890640258789","53.21890640258789","53.21890640258789"
"58","53.1873779296875","53.1873779296875","53.1873779296875"
