"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"24","53.4315185546875","53.4315185546875","53.4315185546875","54.79163360595703","54.79163360595703","54.79163360595703","54.78811264038086","54.78811264038086","54.78811264038086","54.783203125","54.783203125","54.783203125"
"25","53.496524810791016","53.496524810791016","53.496524810791016","54.990867614746094","54.990867614746094","54.990867614746094","54.98659896850586","54.98659896850586","54.98659896850586","54.98141860961914","54.98141860961914","54.98141860961914"
"26","53.548126220703125","53.548126220703125","53.548126220703125","55.19048309326172","55.19048309326172","55.19048309326172","55.18419647216797","55.18419647216797","55.18419647216797","55.179649353027344","55.179649353027344","55.179649353027344"
"27","53.58622360229492","53.58622360229492","53.58622360229492","55.38926315307617","55.38926315307617","55.38926315307617","55.38258743286133","55.38258743286133","55.38258743286133","55.37802505493164","55.37802505493164","55.37802505493164"
"28","53.614315032958984","53.614315032958984","53.614315032958984","55.58708190917969","55.58708190917969","55.58708190917969","55.58073425292969","55.58073425292969","55.58073425292969","55.575923919677734","55.575923919677734","55.575923919677734"
"29","53.620521545410156","53.620521545410156","53.620521545410156","55.78496551513672","55.78496551513672","55.78496551513672","55.77916717529297","55.77916717529297","55.77916717529297","55.77411651611328","55.77411651611328","55.77411651611328"
"30","53.62788009643555","53.62788009643555","53.62788009643555","55.98329162597656","55.98329162597656","55.98329162597656","55.97759246826172","55.97759246826172","55.97759246826172","55.972084045410156","55.972084045410156","55.972084045410156"
"31","53.64707565307617","53.64707565307617","53.64707565307617","56.181602478027344","56.181602478027344","56.181602478027344","56.17573928833008","56.17573928833008","56.17573928833008","56.16983413696289","56.16983413696289","56.16983413696289"
"32","53.66456604003906","53.66456604003906","53.66456604003906","56.381500244140625","56.381500244140625","56.381500244140625","56.37411880493164","56.37411880493164","56.37411880493164","56.36808776855469","56.36808776855469","56.36808776855469"
"33","53.680992126464844","53.680992126464844","53.680992126464844","56.58141326904297","56.58141326904297","56.58141326904297","56.57255554199219","56.57255554199219","56.57255554199219","56.56604766845703","56.56604766845703","56.56604766845703"
"34","53.69578552246094","53.69578552246094","53.69578552246094","56.7811279296875","56.7811279296875","56.7811279296875","56.77081298828125","56.77081298828125","56.77081298828125","56.76301574707031","56.76301574707031","56.76301574707031"
"35","53.711158752441406","53.711158752441406","53.711158752441406","56.981056213378906","56.981056213378906","56.981056213378906","56.968780517578125","56.968780517578125","56.968780517578125","56.959571838378906","56.959571838378906","56.959571838378906"
"36","53.697818756103516","53.697818756103516","53.697818756103516","57.179927825927734","57.179927825927734","57.179927825927734","57.16609191894531","57.16609191894531","57.16609191894531","57.154930114746094","57.154930114746094","57.154930114746094"
