Step,Ours,Naive,Planar
0,0.37416573867739400,0.37416573867739400,0.3454204310382920
1,0.3965999607673050,0.39658554369451900,0.3560847151403700
2,0.39833006308734800,0.41644851213262200,0.35559547117719300
3,0.38986757794941700,0.4327690830809300,0.35625783981264700
4,0.38196511938127300,0.44688439782078100,0.35711869363359300
5,0.36834230997041500,0.4570167398337320,0.35647026391762900
6,0.35678064587103000,0.46600530067463600,0.3560028524866250
7,0.34682184355196400,0.47448532891002000,0.35636487975677500
8,0.33327039051411700,0.48823961173927700,0.35347555248405200
9,0.32141504199314700,0.5009469571285380,0.35148756606847400
10,0.310542844411919,0.5140760285922330,0.35068126846734000
11,0.2975158711626220,0.5238193001145300,0.3503788369380620
12,0.28590884838807200,0.5329827787650720,0.3510657053168010
13,0.2754723535568060,0.5412628149843030,0.35180680434388700
14,0.26515421998098200,0.5547639188608930,0.3528735506329790
15,0.2536211455233410,0.5715852220779770,0.3524233650766770
16,0.24335629345715300,0.5870328234290110,0.352586018348536
17,0.2331671020887430,0.597432319077106,0.3532812547871060
18,0.22139637850200300,0.6090021644911690,0.352719290056523
19,0.20828219976165700,0.621799024344511,0.34957902598494900
20,0.1958394455681900,0.6295908082209690,0.3468919713856360
21,0.1851498741912790,0.6388595314679660,0.3475597798658850
22,0.17554102891444700,0.6468479547889000,0.3492877982772
23,0.16572806566968000,0.6605088086219380,0.3510882367660730
24,0.1570989623271650,0.6723325560692180,0.35283992398875300
25,0.14946074833683300,0.6820661811639310,0.35482747791969600
26,0.14225919154998200,0.6878516006735710,0.3578528049438730
27,0.1353445319757260,0.7015149475399990,0.36331212441688100
28,0.12852943862105900,0.7198427977341800,0.3674303135177200
29,0.12254538162627900,0.7325416840685240,0.3713420129940890
30,0.1172262027504030,0.7415933170412390,0.37468425604061400
31,0.11258142079432000,0.7438000135419370,0.37776955002456200
32,0.10871329308304600,0.7407283262539970,0.3802708465351100
33,0.10498794319862500,0.7275444863231500,0.38038387288903600
34,0.10134514953499700,0.7161676769022720,0.38223695357029300
35,0.09803073740509340,0.7052383099502300,0.3835619801010950
36,0.09494083092281050,0.7021310226665340,0.3862069574565730
37,0.09262607212005390,0.6991311206704340,0.3887566840974840
38,0.09037015945469160,0.6956886571795220,0.38984000420198400
39,0.0883424450364412,0.6914996711138750,0.3875741231161580
40,0.08594998174271130,0.6844399811096360,0.38128605790438000
41,0.0839067827690833,0.6773134077754450,0.37559309783786900
42,0.08211157571496350,0.6707607176727770,0.370717118580635
43,0.08057675243327050,0.6640278285100340,0.36613696820333200
44,0.07980454281014210,0.6579247045398070,0.3588244059147370
45,0.07891340631917930,0.6514047966856810,0.3508978370593270
46,0.07828430759805800,0.644142200379687,0.3439739817259000
47,0.07786455121131610,0.6371232793129930,0.33765457330996600
48,0.0779366112587693,0.6296034221388350,0.33183084980946600
49,0.07885470778187260,0.6218676202640640,0.3268563153162870
50,0.07900435896692230,0.6140253850014360,0.32234518493398300
51,0.07922263283335050,0.6064855723407100,0.31816357536836100
52,0.08016554786673560,0.5984934896070470,0.3142356837485350
53,0.08030337234105810,0.5905919461112180,0.3103713912502440
54,0.07899734934421290,0.5827296508013400,0.3065421306754030
55,0.0765059840906753,0.5745050476269730,0.30356041443641800
56,0.0730074426139776,0.5665601440343680,0.3007804901972170
57,0.0707579797288974,0.5589271720899770,0.29789708334584200
58,0.07101356007924000,0.5516583486302100,0.29565097535260400
59,0.07325036982322990,0.5445460264873450,0.2943529105144340
60,0.07490629730600860,0.5377877780593900,0.29498407078113900
61,0.07853452820102450,0.5313572114017720,0.2956532005282120
62,0.0848085293225311,0.5247151269813080,0.29737080022510800
63,0.08949856586230010,0.5185559823326020,0.2991909180633370
64,0.09397944033806110,0.5128478661337380,0.30113362398422700
65,0.09740917517387070,0.5080846692365150,0.3066530046075090
66,0.10045945873349500,0.5035818732447190,0.31165994013318900
67,0.10179833398115900,0.49995466767990000,0.31792480598151200
68,0.10415030953640900,0.497151929350836,0.3216393091197720
69,0.10595794154061400,0.49425141793837900,0.32520294476244100
70,0.1074450411424270,0.49150169204178500,0.32818793188776700
71,0.10827353086725500,0.48934291401565700,0.33103964565952100
72,0.10891709197614700,0.48732340751823,0.3337793919493480
73,0.10942866495355800,0.48519925717820000,0.3352979990087770
74,0.1081482331690120,0.4824175853520880,0.3305119425838290
75,0.10888987173378300,0.4800842901483630,0.3298117970621270
76,0.11006800579563500,0.47825529550475100,0.32691977081946500
77,0.1127888861719230,0.47694136701435000,0.3240709186788380
78,0.11485951154040100,0.475506817111577,0.3170907985726260
79,0.11779607147024300,0.47442508141255500,0.31055451595471500
80,0.1201366158554670,0.47346052516988200,0.3046088248688890
81,0.12273544869195000,0.4727886122393650,0.2994581989339540
82,0.12508434205477700,0.4721321557510430,0.29402028805293000
83,0.12928561224143800,0.47153959586154200,0.2878433002475370
84,0.13316096869281900,0.47094069573189900,0.2820451327114330
