"Step","fast-sun-63 - loss/rmse_param_sig","fast-sun-63 - loss/rmse_param_sig__MIN","fast-sun-63 - loss/rmse_param_sig__MAX","deep-bee-62 - loss/rmse_param_sig","deep-bee-62 - loss/rmse_param_sig__MIN","deep-bee-62 - loss/rmse_param_sig__MAX","toasty-monkey-61 - loss/rmse_param_sig","toasty-monkey-61 - loss/rmse_param_sig__MIN","toasty-monkey-61 - loss/rmse_param_sig__MAX"
"0","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863","0.408248290463863"
"1","0.42889361419214134","0.42889361419214134","0.42889361419214134","0.42058482534203867","0.42058482534203867","0.42058482534203867","0.38810442986195354","0.38810442986195354","0.38810442986195354"
"2","0.41407193029410433","0.41407193029410433","0.41407193029410433","0.4161444342116837","0.4161444342116837","0.4161444342116837","0.3703656827743036","0.3703656827743036","0.3703656827743036"
"3","0.40356604365412607","0.40356604365412607","0.40356604365412607","0.4174251349769584","0.4174251349769584","0.4174251349769584","0.35518116664044863","0.35518116664044863","0.35518116664044863"
"4","0.3942384147153279","0.3942384147153279","0.3942384147153279","0.4113851838234959","0.4113851838234959","0.4113851838234959","0.33908069731608165","0.33908069731608165","0.33908069731608165"
"5","0.38818219545137855","0.38818219545137855","0.38818219545137855","0.40430883770469717","0.40430883770469717","0.40430883770469717","0.32397725544251416","0.32397725544251416","0.32397725544251416"
"6","0.37967763204440047","0.37967763204440047","0.37967763204440047","0.39646081546988693","0.39646081546988693","0.39646081546988693","0.3091248187122386","0.3091248187122386","0.3091248187122386"
"7","0.37209727111610597","0.37209727111610597","0.37209727111610597","0.38813187160969154","0.38813187160969154","0.38813187160969154","0.29506100396137364","0.29506100396137364","0.29506100396137364"
"8","0.3626099701180402","0.3626099701180402","0.3626099701180402","0.3794229769855246","0.3794229769855246","0.3794229769855246","0.28095900297694143","0.28095900297694143","0.28095900297694143"
"9","0.3545543411214523","0.3545543411214523","0.3545543411214523","0.37390042138745255","0.37390042138745255","0.37390042138745255","0.26835787580212667","0.26835787580212667","0.26835787580212667"
"10","0.3474821375640806","0.3474821375640806","0.3474821375640806","0.3702796694956245","0.3702796694956245","0.3702796694956245","0.2574009136904505","0.2574009136904505","0.2574009136904505"
"11","0.3410233686993118","0.3410233686993118","0.3410233686993118","0.36529498206043887","0.36529498206043887","0.36529498206043887","0.24658156410493537","0.24658156410493537","0.24658156410493537"
"12","0.33481180831373725","0.33481180831373725","0.33481180831373725","0.3586875003408131","0.3586875003408131","0.3586875003408131","0.2354173706298414","0.2354173706298414","0.2354173706298414"
