Step,Ours,Naive,Planar
106,0.004581438785230770,0.006906758399905390,0.01403331367644040
107,0.0030561144851649100,0.005232112174326580,0.012674583493078400
108,0.0021822215848569700,0.003845246847277070,0.011966877557186200
109,0.002294062908456940,0.0025917860318000400,0.011367588375766600
110,0.003078383701730280,0.0016048146230620400,0.010918017548846200
111,0.004039123254448930,0.0012212282286639900,0.010586573219948000
112,0.004998322125621310,0.0016689339853376500,0.010305614919832000
113,0.005703482355706570,0.0021677409834362800,0.01034448123972960
114,0.006793019893177630,0.003522719933179950,0.010038284963237400
115,0.007722396328753650,0.004713074831357750,0.01003268389435590
116,0.008544828598248950,0.005776731250373650,0.010116137512902000
117,0.009294439162153290,0.006763014249425740,0.010202460267064900
118,0.009790574737210280,0.00745129497853297,0.010494249750756900
119,0.01023937090950250,0.008084228180915100,0.010802165093110300
120,0.010648225596204300,0.008669216226570340,0.011095037880479400
121,0.011014455004338900,0.009212115463911650,0.011420675684372100
122,0.01081739405859110,0.008948886434768970,0.012581815417936200
123,0.01057372504434690,0.008645235917069170,0.013956524136787600
124,0.009965711769082400,0.007790404659695400,0.015974245943380500
125,0.009414893568125250,0.007025750246300470,0.017805729574740300
126,0.008917526235273720,0.006343786064832860,0.019331503917010800
127,0.008468548470988900,0.005739600290750880,0.020305227445577200
128,0.007911234888140780,0.004989113711769510,0.02099771713563320
129,0.007408501158643540,0.004325210143000060,0.021190296494801300
130,0.006515713266905120,0.0031007583084149300,0.02076070551598220
131,0.005711123325661310,0.002027932198776950,0.01994562086917670
132,0.004929739702422350,0.0010725359498604300,0.01904081894059210
133,0.003869471019478070,0.0008706031981915810,0.01780832715295780
134,0.002911247055855160,0.002049034243231640,0.016693728071163000
135,0.0020794340592254800,0.003148911790872360,0.015598654483262400
136,0.0013937498806955100,0.004134480832945910,0.014626112723396300
137,0.0009564154411707870,0.005059170168767460,0.013986168032253200
138,0.0013567438222046900,0.00656372575136861,0.01403363223218350
139,0.0024945891900733300,0.00820058668466535,0.014517605189466900
