Step,Ours,Naive,Planar
0,0.408248290463863,0.408248290463863,0.408248290463863
1,0.38810442986195400,0.42889361419214100,0.42058482534203900
2,0.3703656827743040,0.41407193029410400,0.4161444342116840
3,0.35518116664044900,0.40356604365412600,0.4174251349769580
4,0.33908069731608200,0.3942384147153280,0.4113851838234960
5,0.32397725544251400,0.38818219545137900,0.40430883770469700
6,0.3091248187122390,0.37967763204440000,0.39646081546988700
7,0.29506100396137400,0.37209727111610600,0.38813187160969200
8,0.28095900297694100,0.3626099701180400,0.3794229769855250
9,0.26835787580212700,0.3545543411214520,0.37390042138745300
10,0.2574009136904510,0.3474821375640810,0.3702796694956250
11,0.24658156410493500,0.3410233686993120,0.36529498206043900
12,0.2354173706298410,0.33481180831373700,0.3586875003408130
13,0.22468160543779400,0.32917321247277300,0.35327239279893100
14,0.2137444336565320,0.32388556679211100,0.34533202871983000
15,0.2031951425393570,0.3187704423592910,0.33612870924424400
16,0.193772327373125,0.3139989798437090,0.32826262252503900
17,0.18588218864348200,0.30956259409227800,0.32092644163239400
18,0.17898254217254300,0.3058292670563530,0.31260483656857300
19,0.17236190748506300,0.3017512089223240,0.3049906380455190
20,0.16590693431102300,0.29804766465875600,0.2990675775697010
21,0.1596294240715370,0.2948712749386070,0.2946870640463420
22,0.15406310484339500,0.2917270782375260,0.28959770584900600
23,0.14835485797973600,0.2892911316416740,0.2849001343324870
24,0.144061041014139,0.28607903636079100,0.27905430666190500
25,0.13958897157489200,0.28126097604262700,0.2746444201471410
26,0.13513647848336400,0.27678985889519000,0.2711206001008540
27,0.13087844073725900,0.27278789995961000,0.26577829920303700
28,0.12680319201047500,0.2697989938806240,0.260588835941237
29,0.12262697791396900,0.2671753270705410,0.2563801612511330
30,0.11903462168370600,0.2645722322627970,0.2498310199066650
31,0.11579886244815700,0.2622228136747930,0.2442885884740530
32,0.11484672009954100,0.25980412948703700,0.2373848127647260
33,0.11182060233123700,0.2579453753059520,0.2288929102885300
34,0.10669161156671300,0.2584016130997380,0.2200779254772890
35,0.10178983624727300,0.2589450748137530,0.21137505084489100
36,0.09669837836190450,0.2600141342868470,0.20386629163005500
37,0.09190348387368560,0.2612851673503340,0.1963598185173920
38,0.08453040412967850,0.2627972197419720,0.18772615533965300
39,0.07718616820575350,0.264195201193246,0.17941974170037600
40,0.07030075873871630,0.2664476200106480,0.1722647140115000
41,0.061448616666398700,0.2693862071901980,0.16463560123697400
42,0.05417038127666710,0.2724827194918870,0.15690218390977600
43,0.048069923128675900,0.27563082821554,0.14893372389355900
44,0.03899177637876380,0.28531990013602000,0.14786063677376900
45,0.03236510210060510,0.29430115465565700,0.14638947218615600
46,0.027614497777551700,0.30330510326314900,0.1457127222085440
47,0.026034396789254600,0.31129730062055800,0.1447767507165830
48,0.02669206525602070,0.3187297104506640,0.14444499358728800
49,0.027640725138532700,0.32613406039521300,0.1448802411647540
50,0.02863377753607660,0.33404938205317200,0.14376678271044900
51,0.02881080921371940,0.3414151729796810,0.1431383708089390
52,0.027303592536877700,0.34456585572176400,0.14248119215735700
53,0.025536741549242000,0.34651184448304200,0.1423905392215590
54,0.022570849622715500,0.3475462576452170,0.14202774872070500
55,0.02009945111796150,0.3484253271402790,0.1418999972388620
56,0.016392069988916100,0.34913686183691300,0.14247703471589000
57,0.012038060540658800,0.349189067189444,0.14212288616999300
58,0.00742422434654547,0.34907091328832600,0.14220161972520900
59,0.006349476889922780,0.3489419927668950,0.14278435035356000
60,0.009505578964284510,0.34892488338496100,0.14421286559171600
61,0.014399716293685100,0.34927328415711200,0.14653771936609100
62,0.022099428424536600,0.34846904095017700,0.14793130821965200
63,0.03038362244676820,0.3477381799883980,0.14849660270701500
64,0.03825456443808000,0.347422588225743,0.1495292461052850
65,0.04354182589047000,0.3462180683078740,0.14941678694985000
66,0.04974006298881220,0.3448917585983110,0.14872114609451400
67,0.05576738543139500,0.3432800389625760,0.14720862578027900
68,0.060491532120912700,0.3421505446332690,0.1454050542107660
69,0.0637908629395067,0.3406812533080750,0.1444418743933480
70,0.0642783273693156,0.3410070538477530,0.14449370228154000
71,0.06488218153126580,0.341196682072796,0.14226560828408400
72,0.0652624193239974,0.34080535544336500,0.14018320733823600
73,0.0654641085091542,0.34079716901004200,0.13884790955118000
74,0.06615328099393240,0.3398590512503620,0.13836047291132
75,0.06684644544872550,0.3380125360275210,0.13915065672972200
76,0.06702241612854500,0.3364001516573910,0.1412078081424430
77,0.06667162238710700,0.33394396639741600,0.14188403196357100
78,0.06506641663780280,0.33265448730705400,0.1438469143974650
79,0.0631439190236176,0.33166294835334300,0.14532155536329600
80,0.06099141392833740,0.3333246479485840,0.14705007453933400
81,0.05909640500327170,0.33367747956366600,0.14664396369513300
82,0.05701208511702070,0.3343388819627200,0.14664628148332500
83,0.055376428166205900,0.33462086613633100,0.14597801076252500
84,0.05437057932578770,0.3350146219919450,0.14526290580432000
85,0.05356134870445320,0.33574258657912500,0.14404367732828400
86,0.05313566074766750,0.3370993730193090,0.14324220949819700
87,0.052402865268749600,0.338829731457793,0.14299484495089700
88,0.05091678629802320,0.3412316314992070,0.14252510042927000
89,0.04920971981146010,0.3444207490722330,0.14200221461869600
90,0.04793414763432190,0.34714484216898800,0.1410959155387150
91,0.04663921599757310,0.35047387853270100,0.14072800874261600
92,0.04504454427724500,0.3538686979827440,0.14100185822332600
93,0.043878815278149700,0.3573209041363280,0.1406901439730480
94,0.04327321028732800,0.3597171010503720,0.1405700837293160
95,0.04330189725858890,0.3607256728818170,0.14007196480085100
