Step,Ours,Naive,Planar
0,0.12999997615814200,0.12999997615814200,0.12999997615814200
1,0.12499998092651400,0.12499998092651400,0.12499998092651400
2,0.12107108119577300,0.12107129974226700,0.12098523162435900
3,0.1175072215087180,0.11750654610258200,0.11729539544950100
4,0.11417772695572800,0.11417258046574800,0.11387021445025500
5,0.1105208307633110,0.11051198721552400,0.11020645866128200
6,0.10655182595808900,0.10653950340555300,0.10623013852980800
7,0.10293525923583900,0.10291548102632300,0.10254055451385700
8,0.09891649785238020,0.09889254278549620,0.09845722158436340
9,0.09515809474833500,0.09512974451009940,0.09458144792447330
10,0.09177310882292960,0.09174111877115580,0.09105938310861430
11,0.08861623992455230,0.08857537890857140,0.08772357243012220
12,0.08560068795229060,0.08554221913766510,0.0844829208132366
13,0.0827406378933664,0.08265797372898340,0.08131048480520710
14,0.07962696208615830,0.07950980352219620,0.07788831376325370
15,0.07609776253360590,0.07594402453820730,0.0740712649103168
16,0.07275376961579870,0.07256199495212410,0.07038410847427130
17,0.06946025718693260,0.06922608116669480,0.06669367454907460
18,0.06569222162344590,0.06542007195594640,0.06260594030413230
19,0.06163882849265650,0.061326562142127600,0.05822094375242580
20,0.057885041633877500,0.05753551068984390,0.054075421191004300
21,0.05444038879740040,0.05405829057475640,0.05023482091705360
22,0.05122585015884780,0.05079794098896170,0.04658385894424400
23,0.04802828535393450,0.04755785619939030,0.04294640146744560
24,0.04456462694030980,0.04403251290492760,0.03897299350185840
25,0.04077778410752540,0.04018376962159270,0.03459704335299040
26,0.03732239786360680,0.03667519180989720,0.030573551791930500
27,0.033851626540787300,0.03310058293529170,0.02636056134163780
28,0.029961597214659300,0.02912093597306080,0.02175848408330720
29,0.026377694006740800,0.025457174075676300,0.017487005614012300
30,0.022867918840833700,0.02174085386464660,0.013045615153787100
31,0.019663202347679300,0.018351376783203900,0.008955386720937190
32,0.01645892153997660,0.014910950024865700,0.0045636616160221100
33,0.013472275586606300,0.011547909246303100,0.0002672421775750410
34,0.011264482511882100,0.008914315318361910,0.005531652852794960
35,0.00924370472527106,0.006445695314907710,0.010581288997160800
36,0.00808491509427904,0.005152069504381800,0.015230579490993000
37,0.00705190102698742,0.003958119333420160,0.019649603885253500
38,0.006153899728939920,0.002763538816752530,0.023507256391578000
39,0.005406385066307040,0.0018222421113563000,0.025283739890037500
40,0.004558982474623890,0.0015845414862790800,0.024885714399312500
41,0.0036479733044702600,0.002540180320167330,0.02310353104407110
42,0.0028960798817220900,0.0038038930401419200,0.02064446667554270
43,0.0023851058942143000,0.0050869291460688700,0.018222813166458200
44,0.004052760865907630,0.0031982287975599900,0.014291687590335500
45,0.005936392504893670,0.0025632715607125800,0.01095645806800210
46,0.007583449625901800,0.003599818804370760,0.008184850687852490
47,0.00903847915134262,0.0050308016678220000,0.005832239982962380
48,0.010335492299489100,0.006485292500024100,0.0038262876778038200
49,0.011316496063249000,0.007748583682286780,0.002387941996715300
50,0.012605550942493300,0.009102921003521720,0.0018681670084909000
51,0.013689297505692600,0.010295129286023700,0.0017970607312205300
52,0.014602893360688600,0.011273124824150800,0.0021331377298044200
53,0.015402908364449500,0.01215324659239,0.002533204294556990
54,0.016129705281321500,0.01291787783048090,0.0029248185779559900
55,0.01677750622741940,0.013610361796786500,0.0033047824743280000
56,0.017330209726175100,0.014224206995947600,0.003689630343323760
57,0.017775964516362600,0.014649467508625600,0.004060058747071010
58,0.018167110168884900,0.015024289921932600,0.004427349445134740
59,0.018491759545462200,0.015354963842103000,0.004805431186507950
60,0.018738951569697700,0.01563428867704290,0.005221882635047610
61,0.018894275237488300,0.015852416521721200,0.005700469615728870
62,0.01874217095600700,0.015822015187674800,0.006230977561064650
63,0.018409400747249800,0.015578612538912000,0.006894951682014390
64,0.0180649401918791,0.015335027271069400,0.007590259736176320
65,0.018344213926466200,0.015418350296175800,0.007928153500138860
66,0.018545142289847300,0.015395403398014800,0.008382756378464740
67,0.01848654723986020,0.015137745608415400,0.008760611852571010
68,0.018379798541816800,0.01481773666996720,0.009056880003198740
69,0.01802105906122710,0.014333666952448100,0.009780906761718810
70,0.01748397123211650,0.013744394232420900,0.010728719528456600
71,0.01672173121881110,0.012866575992946600,0.012039261695464400
72,0.015905575480230400,0.011956609551545800,0.013361527567752900
73,0.015043455587810200,0.011058840102153100,0.014854151338123000
74,0.014283739283922200,0.01033640639105490,0.015693831222960500
75,0.013597705703450200,0.009787558324740880,0.015501594995685
76,0.013147439533041700,0.009465552853806810,0.01475171674400490
77,0.01252117928551010,0.009046333437165180,0.014054568520751300
78,0.012494565713891900,0.00913166524376232,0.012783023471445400
79,0.012741178759688000,0.009369838960022680,0.011442626670287900
80,0.013313704432706300,0.009877819905044530,0.010368997292035400
81,0.013906604921863800,0.0102520822806481,0.009621953222742530
82,0.014379884720766800,0.010555351071522000,0.009035098610617990
83,0.014757288938862700,0.010716580500781700,0.00866228846214542
84,0.01502546558697730,0.010804062744715400,0.008430377770386400
85,0.01560290518772980,0.01125100023353240,0.008452476316658050
86,0.01605229696945450,0.01158277933445770,0.008631245231298240
87,0.016373795784417000,0.01182065320927870,0.008998349888749150
88,0.016841710436391500,0.01217015643232490,0.009541503893879420
89,0.01748141436435580,0.012757292544594000,0.009952165100201040
90,0.018032299865042500,0.013246517316706900,0.010389989457772600
91,0.018634005484328600,0.013863135235917800,0.0106110960028398
92,0.019125092050568400,0.014397887332652200,0.0108985078111899
93,0.019427026737168500,0.014707657361888000,0.011386688126687000
94,0.0191735345700848,0.014679991827942900,0.011902942320508700
95,0.018620058214782800,0.014417778317368200,0.012588006474652400
96,0.01847705120854550,0.014472852255409500,0.012509144205910600
97,0.01805584823215550,0.014288211275133200,0.012505676152306500
98,0.0174890487099896,0.013941443548430400,0.012587609928036500
99,0.016847269165370500,0.013466676987853100,0.012893825725053800
100,0.01621675495892090,0.013010409241098100,0.01292485871859400
101,0.015664694279352600,0.012595236061216100,0.013103318780878800
